Construction (F),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Average Hourly Irregular Earnings (Euro),1.02,0.93,1.2,1.18,1.45,1.12,1.33,1.32,1.47,1.66
Average Hourly Total Earnings (Euro),24.71,24.81,24.95,23.8,24.99,24.82,24.39,24.63,25.4,26.32
Average Regular Weekly Paid Hours (Hours),32.5,32.5,31.8,31.5,32.1,32.5,32.2,32.5,33.5,33.5
Average Overtime Weekly Paid Hours (Hours),0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3
Average Total Weekly Paid Hours (Hours),32.8,32.7,32,31.7,32.3,32.7,32.4,32.8,33.8,33.8
Registered Employment  (Number),82000,73200,69600,68600,69500,77000,84400,87500,91300,91700
Administrative and support service activities (N),,,,,,,,,,
Average Regular Earnings (Euro),23826,24150,23577,23381,23779,23804,23824,24957,24868,26182
Average Overtime Earnings (Euro),890,673,590,518,684,557,528,566,545,593
Average Total Earnings excluding Irregular (Euro),24716,24823,24167,23899,24463,24361,24353,25522,25413,26775
Average Irregular Earnings (Euro),957,953,1115,1406,1306,1482,1470,1406,1683,1715
Average Total Earnings (Euro),25672,25776,25282,25304,25770,25843,25823,26928,27096,28490
Average Other Labour Costs (Euro),4170,3837,3324,3183,3497,3542,3708,3805,3777,4167
Average Total Labour Costs (Euro),29843,29613,28606,28488,29267,29385,29531,30733,30873,32656
Average Hourly Regular Earnings  (Euro),14.78,15.44,14.93,15.3,14.91,15.24,15.25,15.76,15.9,16.14
Average Hourly Overtime Earnings (Euro),0.55,0.43,0.37,0.34,0.43,0.36,0.34,0.36,0.35,0.37
Average Hourly Total Earnings excluding Irregular (Euro),15.33,15.87,15.31,15.64,15.34,15.6,15.59,16.12,16.25,16.51
Average Hourly Irregular Earnings (Euro),0.59,0.61,0.71,0.92,0.82,0.95,0.94,0.89,1.08,1.06
Average Hourly Total Earnings (Euro),15.92,16.48,16.01,16.56,16.16,16.55,16.53,17.01,17.32,17.56
Average Regular Weekly Paid Hours (Hours),30.1,29.4,29.7,28.8,30,29.4,29.5,29.8,29.5,30.6
Average Overtime Weekly Paid Hours (Hours),0.9,0.7,0.6,0.6,0.7,0.6,0.6,0.7,0.6,0.6
Average Total Weekly Paid Hours (Hours),31,30.1,30.4,29.4,30.7,30,30,30.4,30.1,31.2
Registered Employment  (Number),89100,78600,72500,78000,73400,71500,77200,80300,82800,90100
Public administration and defence; compulsory social security (O),,,,,,,,,,
Average Regular Earnings (Euro),44608,47482,44772,43184,44737,44918,44582,44638,43543,44571
Average Overtime Earnings (Euro),2278,1589,1646,1601,1280,1261,1142,1366,1724,2049
Average Total Earnings excluding Irregular (Euro),46886,49071,46418,44785,46017,46179,45724,46004,45267,46620
Average Irregular Earnings (Euro),3542,2538,2320,2274,2097,2095,2137,2169,2062,2287
Average Total Earnings (Euro),50428,51609,48738,47060,48114,48273,47861,48173,47329,48907
Average Other Labour Costs (Euro),3938,3775,3469,3452,3685,3810,3935,4045,4074,4279
Average Total Labour Costs (Euro),54366,55384,52207,50512,51798,52084,51796,52217,51404,53186
Average Hourly Regular Earnings  (Euro),24.32,25.52,24.16,24.01,24.45,24.12,23.78,23.66,23.21,23.39
Average Hourly Overtime Earnings (Euro),1.24,0.85,0.89,0.89,0.7,0.68,0.61,0.72,0.92,1.07
Average Hourly Total Earnings excluding Irregular (Euro),25.56,26.37,25.05,24.9,25.15,24.8,24.38,24.39,24.13,24.46
Average Hourly Irregular Earnings (Euro),1.93,1.36,1.25,1.26,1.15,1.12,1.14,1.15,1.1,1.2
Average Hourly Total Earnings (Euro),27.49,27.74,26.3,26.17,26.3,25.92,25.52,25.54,25.23,25.66
Average Regular Weekly Paid Hours (Hours),33.8,34.8,34.6,33.6,34.4,35,35.3,35.4,35,35.4
Average Overtime Weekly Paid Hours (Hours),1.5,1,1.1,1,0.8,0.8,0.8,0.9,1.1,1.2
Average Total Weekly Paid Hours (Hours),35.3,35.8,35.6,34.6,35.2,35.8,36.1,36.3,36.1,36.7
Registered Employment  (Number),120000,117000,114200,109900,106700,104500,107400,111800,112700,117700
Education (P),,,,,,,,,,
